,RStation,Country,SMS
1898,Nam Lolwe,Kenya,"MOS MAG  YAMO OLOKO ODHINE MIN ODA ROSE CHILLA ORUA MAR COUNTY HALL KITALE,NYARA SIPROSE AKOTH CHILLA MAR  GREAT LAKE UNIVERSITY KIBOS CAMPUS,AN JAPUONJ P.C KORUA JABONDO KIBUYE VILLAGE.""                                                                    "
1899,Nam Lolwe,Kenya,Jaringa  amosou osiepena ariyo maber to atimo mos makende ne osiepna dr chumbe kuom tho mar nyadhine an wuod nyangere omosh jadonat                                                                                                                            
1900,Nam Lolwe,Kenya,"Dwokna da 4lowing dala:mbasna beatrice anyango from mig,erick okiri,arthur,kamara all from h/b.am dennis obunga from gwassi magunga.                                                                                                                           "
1901,Nam Lolwe,Kenya,Lolwe.an ochieng onywera.mar seme nyatigo.awinji kod.asali jaraha.jenga pande.okado koli.george akinyi.kod peter oduma.                                                                                                                                        
1902,Nam Lolwe,Kenya,adwuoko pin mara melda george akinyi tyras awange oburu adhiambo  gi min ode linet                                                                                                                                                                             
1903,Nam Lolwe,Kenya,adwuoko pin mara melda george akinyi tyras awange oburu adhiambo  gi min ode linet an erick ochar                                                                                                                                                              
1904,Nam Lolwe,Kenya,LOLWE AN TOBY NYAKWAR AMINDA MAR MILENYE AMOSO OCHIENG APUDO ALBAT ADONGO PIUS OSWE ANDREW OUMA OTIENO ODENY DAUDI ONGOCHE                                                                                                                                     
1905,Nam Lolwe,Kenya,AN ODHIS NICE BOY MAR JERA ATIMO MOS NI MR. ARICH MAR KASAGAM SECONDARY KUOM WITO WUON GI MANO YIK NGESO.                                                                                                                                                      
1906,Nam Lolwe,Kenya,JO OHALA MA AMOYO MARKET ANG'O MOMIYO OK UDWA DONGRUOK UHERO MANA MONDO MARKET KIK DONGI CHIEF MA SOUTH SAKWA NEYANE WACHNO                                                                                                                                    
1907,Nam Lolwe,Kenya,"Lolwe  an ouko  migwa,mosna  min  oda  peres  nyokana,lavo  lavo,sadok,saulo,tokod  jopeng  te  maboya,pii  ema  negowa  ahero  ka                                                                                                                             "
1908,Nam Lolwe,Kenya,"budho ber to mosna pin no na jen akinyi,lavenda,purity,mamana rose,jayalo benard,jacob fundi,ken gori,opato(ombeyi)ochieng katiba,jadwuongna peter akach(muhanda)an edwin ouma(chiga).                                                                         "
1909,Nam Lolwe,Kenya,Jaringa gimoro rach eofis governor ewaiting room nitie idlers mosiko kanyo maromo ji apar giwiye mamiyo welo madwaro neno jack bedo kod tich matek kwergie uru yawa. Omino James Lwala                                                                         
