Index,RStation,Country,SMS
1291,Breeze,Zambia,Fear Aids/malaria  Non Of The Two Is Better. We Have To Fear Both.louis Sinda                                                                                                                                                                                  
1292,Breeze,Zambia,fear   accident bcz kils fast.Daniel phiri magazini.                                                                                                                                                                                                           
1293,Breeze,Zambia,"""WOPANI MALEYA CHIKWA HIV NICHADYA CHAMUTHU CHAPA PAZIKO PORTPHER SINDA
  ""                                                                                                                                                                                    "
1294,Mudzi Wathu,Malawi,M                                                                                                                                                                                                                                                              
1295,Mudzi Wathu,Malawi,AYI- Adzipiliza chifukwa nkhani ndi ya voti.                                                                                                                                                                                                                   
1296,Mudzi Wathu,Malawi,"Vote yanga ,atha kuimanso nkhani ndi vote basi :onyamata omwa mbuna                                                                                                                                                                                            "
1297,Mudzi Wathu,Malawi,KAWILI NIKOKWANA KUWOPA UKAWALALA PALAST ALLEN                                                                                                                                                                                                                 
1298,Mudzi Wathu,Malawi,EYA KAWIRI NDIkwokwaniraNDINE  LETALA  KANTHITI KU LILONGWE                                                                                                                                                                                                    
1299,Mudzi Wathu,Malawi,AYI. ALEKERENI APITILIZE NDI MWAYI WAWO.-Thandiwe Nyirenda                                                                                                                                                                                                     
1300,Mudzi Wathu,Malawi,"SAVIMBI, KAPIRI. MZOYENERA KUIMA KAWIRI BASI NDIKUPEREKA MPATA KWA ENA.                                                                                                                                                                                        "
1301,Mudzi Wathu,Malawi,"MAI SAVIMBI, KAWIRI MKOKWANIRA.                                                                                                                                                                                                                                "
1302,Mudzi Wathu,Malawi,Ayi=zaka zambiri zitakha 5 bola chifukwa ana masiku ano amakula mwachangu mdiye ana okulilapo amachitamanyazi akaona tiwana. LUMBANI KAMANGA (GILIME HOSPITAL).                                                                                                
1303,Mudzi Wathu,Malawi,Eya.  zilibwino  ndine  francis  k J . Mtalimanja                                                                                                                                                                                                              
1304,Mudzi Wathu,Malawi,INE MOSES GOME VIIIAGE KAPILI EYA ZAKA 8 NDIZOKWANA KUPULAYIMALE                                                                                                                                                                                               
1305,Mudzi Wathu,Malawi,8yrs ili bwino kuti mwana apse.vuto ndi kusinthasintha sylabus.      JANGIA -CHIPUMI                                                                                                                                                                           
1306,Mudzi Wathu,Malawi,Eya nzokwanira:        Zifukwa zake nazi:   1.Masilabasi  aphunzitsi masiku    ano samaliza pamene kale mwana akafika Std 5  amakhala atadziwa kulemba    ndi kulemba bwino.  2.Ana akakamizidwe kuti   umbuli abale uchepeko.                                 
1307,Mudzi Wathu,Malawi,EYA: VUTO NDI KUCHEPA ZIPANGIZO  ZOPHUNZITSIRA KOMANSO  NDONDOMEKO YA MAPHUNZIRO .K.W.THUNDU.  MKHOTA TRADING CENTRE                                                                                                                                           
1308,Mudzi Wathu,Malawi,Malungo{ amakonda  kugwira  ana  komaso  ama  munthu  chidule  edzi  ukhoza  kupewa  polandira  ma erv                                                                                                                                                         
1309,Mudzi Wathu,Malawi,MARUNGO ZIFUKWA AMAPHA MUNTHU MWASANGA 2 ARINDICHANGU KUDWARITSA MUNTHU SEMU MATOLA KWA CHILOWA                                                                                                                                                                
1310,Mudzi Wathu,Malawi,MMENE NDIKUWONLA INEKOMA NDIMALUNGO CHIFUKWA CHAKUTI MUNTHU AMATHAKUTMAGAZIA                                                                                                                                                                                   
1311,Mudzi Wathu,Malawi,Matenda oopsa kwambiri ndi malungo chifukwa munthu amadwala mwatsoka atalumidwa ndi udzudzu pamene edzi amayitenga mwadaladala chifukwa chongo konda  chiwelewele basi                                                                                         
1312,Mudzi Wathu,Malawi,CISE-Mchinji. Malaria and HIV/AIDS both are not good news among us. So both need collective intervention. Remember we are fighting for zero new HIV infection and prevantable death                                                                            
1313,Mudzi Wathu,Malawi,INEJAZENI KUNOKWA MPAMA NDIKUTI MALUNGO NDINKHONDO CHIFUKWA CHAKUTI ATHAKUKUPHA MWASANGA                                                                                                                                                                       
1314,Mudzi Wathu,Malawi,edzi ndi malungo matenda onse ndi opsa ndibwino kupewa ndine  mbusa  tsani  nazalene nyongani village ambuye akudalitseni                                                                                                                                      
1315,Mudzi Wathu,Malawi,YELYMIYA KWAKAPANGA MALUNGO EDZI ZOSE NIDENJA                                                                                                                                                                                                                  
1316,Mudzi Wathu,Malawi,INEOFEWA DISIMASI KUNOKWAMPAMA NDIKUTI MALUNDI EDS ZOSEZO MZOWOPSWA CHIFUKWA ZOSEZIZIMAPHA                                                                                                                                                                     
1317,Mudzi Wathu,Malawi,Gift.kasungu..edzi chifukwa ilibe mamkhwala..                                                                                                                                                                                                                  
1318,Nam Lolwe,Kenya,"Fear! BOTH. Reasons, MALARIA, hecheki na mtu, AIDS, Yawa Ndilo..., Kinda kod yath chupa mopong', Asetho. Odhiambo Ogolo, kanyakoo- Asembo.                                                                                                                     "
1319,Nam Lolwe,Kenya,"Jael  kod  Agangu  to  me  i  fear  both ,First  Malaria  can  kill  within  one  day  and  second  Aids  has  NO  cure ,  Am  Abenjo  Kenna  Ja  Asembo  Mabinju.                                                                                             "
1320,Nam Lolwe,Kenya,IFEAR AYAKI KOMAKI TO GIKO EN MANA THOO  KAPONI INGENG!AN RV JACK OGAA WUOD NYORE.                                                                                                                                                                             
1321,Nam Lolwe,Kenya,I  fear  both  Malaria  and  HIV/AIDS   MOSNA  JAEL    AN  OKELLO   JAKABLACK                                                                                                                                                                                  
1322,Nam Lolwe,Kenya,"Fear   both  maleria  &  ADS  nikech   kagimaki  to   gimoni   tiyo   tijeni   kaka  pile   kendo   itiyo   gi  pesa   mangeny   eyor  thieth  and   etc,   to  tho  tochuno   nyikech   nosigi,   an   JALANGO   OTIENO   afuayo   ne  all  Lolwe  damu.      "
1323,Nam Lolwe,Kenya,"Fear   both  maleria  &  ADS  nikech   kagimaki  to   gimoni   tiyo   tijeni   kaka  pile   kendo   itiyo   gi  pesa   mangeny   eyor  thieth  and   etc,                                                                                                      "
1324,Nam Lolwe,Kenya,"FEAR;CHOLERA IT KILLS FASTER,WHEN IT HAPPENS IN THE VILLAGE IT BRINGS ALOT OF WORRY & HURRY,GEORGE WUOD CHIEF FRM RARIEDA.                                                                                                                                     "
1325,Nam Lolwe,Kenya,FIYAR  AN  JOHANA   FUNDI   KOMBE  KIBUYE  OKIMI  RAS  WAGOTICH  GI   FUNDE  TE  RAILA HALL  KA                                                                                                                                                                
1326,Nkhotakota,Malawi,"malaria,aids,fear.                                                                                                                                                                                                                                             "
1327,Nkhotakota,Malawi,"malaria,aids,fear.                                                                                                                                                                                                                                             "
1328,Nkhotakota,Malawi,MALUGONIYOWO  PSA INEWATISONI KUMALOWA                                                                                                                                                                                                                         
1329,Gorongosa,Mozambique,Esto apedir musica de lil wayne                                                                                                                                                                                                                                
1330,Gorongosa,Mozambique,"DE SR BETINHO CATIQUE,RESIDENTE EM NHAMBONDO,DEDICANDO SUA ESPOSA MARTA,SEUS FILHOS AMILTON,BETINHA,MINGO E SANTA. SEUS IRMAOS,BEATRIZ CATIQUE,CELESTINA CATIQUE E LUCAS CATIQUE.SOBRINHOS,LUCAS MANUEL,SANTA MANUEL,JENCIO MANUEL E ORTENCIA MANUEL.TODOS EM N"
1331,Gorongosa,Mozambique,"Liga-te a malta-m, enviando um SMS com palavra MALTA S para o 820015, e GANHA 50MIN, 150SMS e 5MB para falares MAHALA com a tua Malta. Liga-me 823892734                                                                                                       "
1332,Gorongosa,Mozambique,receo as pessoas dizem que a maralia tem cura por  que?                                                                                                                                                                                                        
1333,Gorongosa,Mozambique,Receio d Todas sida e malaria pk reusultam em morte. Danito peq'no.                                                                                                                                                                                            
1334,Breeze,Zambia,FEAR AIDS NO CURE BANDA C.                                                                                                                                                                                                                                     
1335,Breeze,Zambia,"Fear Hiv Aids Because Aids Has Got No Cure,am Agness                                                                                                                                                                                                           "
1336,Breeze,Zambia,FEAR AIDS Cifukwa ilibe mankhwala David Daka Minga                                                                                                                                                                                                             
1337,Breeze,Zambia,"FEAR  AIDS, COZ IT CAN'T BE CURED. SIMON, KATETE, MBINGA V\G.                                                                                                                                                                                                  "
1338,Breeze,Zambia,"Fear AIDS.bcoz it eats u slowly everyday until u die.(albert Abbygirl, former chipata colege student)                                                                                                                                                          "
1339,Breeze,Zambia,"FEAR AIDS COZ AIDS IZ A MOST DANGEROUS THAN MARELIA,AM SEVERIANO,PETAUKE BORDING.                                                                                                                                                                              "
1340,Breeze,Zambia,Fear Aids b coz it is uncurable Robert zulu Mwanjawamthu                                                                                                                                                                                                       
