,RStation
1898,Nam Lolwe
1899,Nam Lolwe
1900,Nam Lolwe
1901,Nam Lolwe
1902,Nam Lolwe
1903,Nam Lolwe
1904,Nam Lolwe
1905,Nam Lolwe
1906,Nam Lolwe
1907,Nam Lolwe
1908,Nam Lolwe
1909,Nam Lolwe
1910,Nam Lolwe
1911,Nam Lolwe
1912,Nam Lolwe
1913,Nam Lolwe
1914,Nam Lolwe
1915,Nam Lolwe
1916,Nam Lolwe
1917,Nam Lolwe
1918,Nam Lolwe
1919,Nam Lolwe
1920,Nam Lolwe
1921,Nam Lolwe
1922,Nam Lolwe
1923,Nam Lolwe
1924,Nam Lolwe
1925,Nam Lolwe
1926,Nam Lolwe
1927,Nam Lolwe
1928,Nam Lolwe
1929,Nam Lolwe
1930,Nam Lolwe
1931,Nam Lolwe
1932,Nam Lolwe
1933,Nam Lolwe
1934,Nam Lolwe
1935,Nam Lolwe
1936,Nam Lolwe
1937,Nam Lolwe
1938,Nam Lolwe
1939,Nam Lolwe
1940,Nam Lolwe
1941,Nam Lolwe
1942,Nam Lolwe
1943,Nam Lolwe
1944,Nam Lolwe
1945,Nam Lolwe
1946,Nam Lolwe
1947,Nam Lolwe
1948,Nam Lolwe
1949,Nam Lolwe
1950,Nam Lolwe
1951,Nam Lolwe
1952,Nam Lolwe
1953,Nam Lolwe
1954,Nam Lolwe
1955,Nam Lolwe
1956,Nam Lolwe
1957,Nam Lolwe
1958,Nam Lolwe
1959,Nam Lolwe
1960,Nam Lolwe
1961,Nam Lolwe
1962,Nkhotakota
1963,Nkhotakota
1964,Nkhotakota
1965,Nkhotakota
1966,Nkhotakota
1967,Nkhotakota
1968,Nkhotakota
1969,Nkhotakota
1970,Nkhotakota
1971,Nkhotakota
1972,Nkhotakota
1973,Nkhotakota
1974,Mudzi Wathu
1975,Mudzi Wathu
1976,Mudzi Wathu
1977,Mudzi Wathu
1978,Mudzi Wathu
1979,Mudzi Wathu
1980,Mudzi Wathu
