Index,RStation,Country,,
1291,Breeze,Zambia,,
1292,Breeze,Zambia,,
1293,Breeze,Zambia,,
1294,Mudzi Wathu,Malawi,,
1295,Mudzi Wathu,Malawi,,
1296,Mudzi Wathu,Malawi,,
1297,Mudzi Wathu,Malawi,,
1298,Mudzi Wathu,Malawi,,
1299,Mudzi Wathu,Malawi,,
1300,Mudzi Wathu,Malawi,,
1301,Mudzi Wathu,Malawi,,
1302,Mudzi Wathu,Malawi,,
1303,Mudzi Wathu,Malawi,,
1304,Mudzi Wathu,Malawi,,
1305,Mudzi Wathu,Malawi,,
1306,Mudzi Wathu,Malawi,,
1307,Mudzi Wathu,Malawi,,
1308,Mudzi Wathu,Malawi,,
1309,Mudzi Wathu,Malawi,,
1310,Mudzi Wathu,Malawi,,
1311,Mudzi Wathu,Malawi,,
1312,Mudzi Wathu,Malawi,,
1313,Mudzi Wathu,Malawi,,
1314,Mudzi Wathu,Malawi,,
1315,Mudzi Wathu,Malawi,,
1316,Mudzi Wathu,Malawi,,
1317,Mudzi Wathu,Malawi,,
1318,Nam Lolwe,Kenya,,
1319,Nam Lolwe,Kenya,,
1320,Nam Lolwe,Kenya,,
1321,Nam Lolwe,Kenya,,
1322,Nam Lolwe,Kenya,,
1323,Nam Lolwe,Kenya,,
1324,Nam Lolwe,Kenya,,
1325,Nam Lolwe,Kenya,,
1326,Nkhotakota,Malawi,,
1327,Nkhotakota,Malawi,,
1328,Nkhotakota,Malawi,,
1329,Gorongosa,Mozambique,,
1330,Gorongosa,Mozambique,,
1331,Gorongosa,Mozambique,,
1332,Gorongosa,Mozambique,,
1333,Gorongosa,Mozambique,,
1334,Breeze,Zambia,,
1335,Breeze,Zambia,,
1336,Breeze,Zambia,,
1337,Breeze,Zambia,,
1338,Breeze,Zambia,,
1339,Breeze,Zambia,,
1340,Breeze,Zambia,,
1341,Breeze,Zambia,,
1342,Breeze,Zambia,,
1343,Breeze,Zambia,,
1344,Breeze,Zambia,,
1345,Breeze,Zambia,,
1346,Breeze,Zambia,,
1347,Breeze,Zambia,,
1348,Breeze,Zambia,,
1349,Breeze,Zambia,,
1350,Breeze,Zambia,,
1351,Breeze,Zambia,,
1352,Breeze,Zambia,,
1353,Breeze,Zambia,,
1354,Breeze,Zambia,,
1355,Breeze,Zambia,,
1356,Breeze,Zambia,,
1357,Breeze,Zambia,,
1358,Breeze,Zambia,,
1359,Breeze,Zambia,,
1360,Breeze,Zambia,,
1361,Breeze,Zambia,,
1362,Breeze,Zambia,,
1363,Breeze,Zambia,,
1364,Breeze,Zambia,,
1365,Breeze,Zambia,,
1366,Breeze,Zambia,,
1367,Breeze,Zambia,,
1368,Breeze,Zambia,,
1369,Breeze,Zambia,,
1370,Breeze,Zambia,,
1371,Breeze,Zambia,,
1372,Breeze,Zambia,,
1373,Breeze,Zambia,,
1374,Breeze,Zambia,,
1375,Breeze,Zambia,,
1376,Breeze,Zambia,,
1377,Breeze,Zambia,,
1378,Breeze,Zambia,,
1379,Breeze,Zambia,,
1380,Breeze,Zambia,,
1381,Breeze,Zambia,,
1382,Breeze,Zambia,,
1383,Breeze,Zambia,,
1384,Breeze,Zambia,,
1385,Breeze,Zambia,,
1386,Breeze,Zambia,,
1387,Breeze,Zambia,,
1388,Breeze,Zambia,,
1389,Breeze,Zambia,,
1390,Breeze,Zambia,,
1391,Breeze,Zambia,,
1392,Breeze,Zambia,,
1393,Breeze,Zambia,,
1394,Breeze,Zambia,,
1395,Breeze,Zambia,,
1396,Breeze,Zambia,,
1397,Breeze,Zambia,,
1398,Breeze,Zambia,,
1399,Breeze,Zambia,,
1400,Breeze,Zambia,,
1401,Breeze,Zambia,,
1402,Breeze,Zambia,,
1403,Breeze,Zambia,,
1404,Breeze,Zambia,,
1405,Breeze,Zambia,,
1406,Breeze,Zambia,,
1407,Breeze,Zambia,,
1408,Breeze,Zambia,,
1409,Breeze,Zambia,,
1410,Breeze,Zambia,,
1411,Breeze,Zambia,,
1412,Mudzi Wathu,Malawi,,
1413,Mudzi Wathu,Malawi,,
1414,Mudzi Wathu,Malawi,,
1415,Mudzi Wathu,Malawi,,
1416,Mudzi Wathu,Malawi,,
